@relation 'citation'
@attribute _id integer
@attribute 2000 real
@attribute 2001 real
@attribute 2002 real
@attribute 2003 real
@attribute 2004 real
@attribute 2005 real
@attribute 2006 real
@attribute 2007 real
@attribute 2008 real
@attribute 2009 real
@attribute average_average_citation real
@attribute average_citation real
@attribute average_coauthor real
@attribute average_publication real
@attribute cs_average_ranking_percentile real
@attribute journal_count_percentage real
@attribute max_average_citation real
@attribute max_citation real
@attribute max_coauthor real
@attribute max_publication real
@attribute non_cs_average_ranking_percentile real
@attribute outside_cs_percentage real
@attribute tire_1_count real
@attribute tire_1_percentage real
@attribute tire_2_count real
@attribute tire_2_percentage real
@attribute venue_average_citation real
@attribute venue_ranking_percentile real
@attribute venue_type {'Journal', 'Conference', 'Unknown'}
@attribute label {-1, 1}

@data
1269928 , 9 , 12 , 26 , 24 , 35 , 24 , 34 , 33 , 39 , 35 , 1.23948027142 , 75.0 , 363.0 , 57.0 , 13.9337860781 , 0.377287304282 , 1.85908451804 , 119 , 470 , 64 , 32.6378737542 , 0.0537404034994 , 14 , 0.264101112998 , 29 , 0.547066591209 , 0 , 0 , Unknown , 1
663721 , 13 , 18 , 11 , 21 , 15 , 21 , 26 , 12 , 13 , 12 , 8.68763229128 , 145.2 , 173.2 , 19.0 , 6.88890946121 , 0.481392334753 , 33.9152119701 , 711 , 770 , 66 , 0.0 , 0.000185150897982 , 34 , 0.629513053138 , 39 , 0.722088502129 , 16.1996947654 , 0.73 , Journal , -1
852138 , 11 , 16 , 13 , 4 , 0 , 7 , 3 , 13 , 2 , 10 , 8.00317781868 , 386.5 , 168.0 , 40.0 , 8.4993057484 , 0.24993057484 , 12.7383817812 , 688 , 210 , 54 , 26.023255814 , 0.0771597026403 , 5 , 0.138850319356 , 14 , 0.388780894196 , 13.0205930264 , 14.88 , Journal , -1
852139 , 19 , 13 , 16 , 7 , 5 , 9 , 10 , 10 , 7 , 10 , 3.66396818982 , 75.0 , 178.5 , 21.0 , 11.2647125653 , 0.431720063622 , 4.05996252342 , 85 , 210 , 26 , 28.365448505 , 0.0640289300149 , 10 , 0.227221086117 , 18 , 0.40899795501 , 13.0205930264 , 14.88 , Journal , -1
802988 , 12 , 10 , 18 , 13 , 22 , 30 , 26 , 40 , 29 , 29 , 10.8581381293 , 310.0 , 70.5 , 29.0 , 13.8187319127 , 0.49986845567 , 11.6905693177 , 351 , 77 , 35 , 13.1616766467 , 0.116484538479 , 11 , 0.289397526967 , 15 , 0.394632991318 , 22.2177226643 , 3.59 , Journal , 1
303278 , 18 , 21 , 20 , 34 , 25 , 23 , 20 , 13 , 12 , 14 , 12.1261889378 , 746.333333333 , 98.3333333333 , 48.6666666667 , 11.4313378053 , 0.215162637641 , 20.9962506695 , 1176 , 149 , 76 , 27.6169154229 , 0.0248117516356 , 28 , 0.35438552082 , 38 , 0.480951778256 , 19.8279024179 , 1.5 , Conference , 1
846536 , 6 , 11 , 26 , 15 , 10 , 10 , 2 , 1 , 0 , 0 , 6.96373693153 , 238.0 , 138.75 , 43.25 , 8.55009780483 , 0.391219300152 , 13.373253493 , 721 , 207 , 72 , 36.504950495 , 0.0214847904701 , 20 , 0.43468811128 , 27 , 0.586828950228 , 15.9476754432 , 0.95 , Journal , -1
1286325 , 1 , 6 , 9 , 10 , 8 , 8 , 20 , 12 , 8 , 8 , 3.18895763922 , 67.0 , 115.0 , 21.0 , 13.2631871183 , 0.721821210439 , 3.18895763922 , 67 , 115 , 21 , 0.715710723192 , 0.182189913676 , 6 , 0.333148250972 , 6 , 0.333148250972 , 16.8818232279 , 2.13 , Journal , -1
1261750 , 25 , 35 , 42 , 65 , 92 , 98 , 115 , 128 , 127 , 126 , 4.88587259103 , 304.5 , 67.0 , 56.0 , 14.6550282764 , 0.33603802967 , 5.98738245447 , 503 , 73 , 84 , 17.1246325691 , 0.122365297461 , 20 , 0.163920990083 , 36 , 0.295057782149 , 0 , 0 , Unknown , 1
305865 , 13 , 12 , 10 , 12 , 19 , 4 , 5 , 6 , 5 , 8 , 3.8287787899 , 172.333333333 , 77.3333333333 , 15.0 , 11.6920769808 , 0.399900024994 , 11.4863363697 , 517 , 178 , 45 , 0.0 , 0.000249937515621 , 24 , 0.599850037491 , 28 , 0.699825043739 , 28.0632156851 , 1.1 , Journal , -1
