@relation 'citation'
@attribute id integer
@attribute 2000 integer
@attribute 2001 integer
@attribute 2002 integer
@attribute 2003 integer
@attribute 2004 integer
@attribute 2005 integer
@attribute 2006 integer
@attribute 2007 integer
@attribute 2008 integer
@attribute 2009 integer
@attribute sum integer
@data
459417,16,20,18,11,7,8,4,5,6,7,102
1360542,21,20,29,10,4,2,4,0,0,1,91
107170,9,10,13,19,23,17,26,29,16,12,174
303783,1,10,7,5,18,12,5,16,4,13,91
216339,4,3,7,12,10,9,11,14,18,10,98
541355,4,8,8,7,8,7,12,7,4,5,70
303796,3,13,21,26,31,37,33,36,36,32,268
170782,14,23,11,32,36,21,13,8,10,5,173
721596,10,8,8,10,18,10,25,23,17,30,159
1663679,1,3,4,3,12,19,19,22,23,37,143
680643,5,8,8,4,4,8,8,9,15,10,79
598728,5,6,8,15,14,23,33,22,16,19,161
189131,7,10,16,21,14,17,18,17,15,17,152
254670,17,17,24,24,32,34,49,42,50,29,318
1958611,2,5,10,14,15,19,15,7,6,7,100
811733,12,11,11,16,16,24,23,20,24,25,182
2048730,3,4,7,12,9,18,7,7,14,10,91
27812657,3,7,13,14,13,9,11,11,6,15,102
2097887,6,5,5,10,7,7,14,14,16,12,96
180960,5,20,17,27,20,30,33,41,30,19,242
287459,3,8,13,14,23,27,26,32,47,60,253
140005,36,46,56,59,40,31,38,24,28,22,380
803560,19,28,26,55,39,44,52,47,37,28,375
434922,1,6,7,9,12,14,12,18,16,16,111
393970,13,9,10,13,8,15,19,14,23,6,130
213749,14,8,12,13,8,8,11,6,3,2,85
27812605,4,16,30,54,61,98,141,123,151,168,846
172798,15,15,11,28,21,35,44,28,33,39,269
246528,6,5,6,4,9,14,14,6,7,5,76
2089735,5,5,13,18,24,22,32,42,30,54,245
90889,3,5,20,23,31,43,60,39,34,41,299
287499,4,7,9,8,5,10,9,10,2,3,67
109357,14,12,12,8,6,4,8,6,1,3,74
1327888,11,20,9,13,16,14,9,7,5,3,107
811802,4,3,2,4,5,11,7,6,17,8,67
197404,15,19,10,11,12,7,10,18,7,5,114
410402,3,6,6,6,6,10,9,11,13,12,82
303907,6,6,10,6,7,10,10,10,11,15,91
506673,17,24,30,34,56,54,44,52,72,67,450
413831,7,9,16,23,20,40,25,37,26,37,240
123697,17,55,58,62,59,50,45,31,31,28,436
336695,8,11,12,22,19,14,15,12,8,8,129
213816,5,31,43,54,39,31,30,26,14,14,287
1180473,6,5,6,7,6,11,6,12,19,24,102
1712956,25,41,62,78,76,62,70,92,107,99,712
197438,7,13,10,13,11,12,8,13,10,12,109
2065215,3,2,6,6,16,16,16,23,18,22,128
2564928,2,5,2,7,11,11,8,12,11,18,87
402242,3,1,10,10,11,11,10,26,14,7,103
295750,10,10,18,19,18,23,17,8,13,11,147
787271,3,6,10,10,2,10,15,13,18,17,104
746312,1,2,7,7,9,8,8,5,17,21,85
2090466,1,3,5,5,13,16,30,31,31,39,174
331917,1,6,7,13,9,23,22,24,22,32,159
2048848,3,1,2,7,7,8,14,15,12,5,74
287571,7,7,10,13,6,9,10,8,8,8,86
287573,3,14,18,28,15,28,18,14,19,12,169
271190,4,8,13,15,18,15,22,12,11,18,136
451417,14,30,23,25,37,27,20,12,12,6,206
340461,17,15,26,26,19,29,36,28,28,16,240
1712991,0,0,1,7,4,11,8,11,8,10,60
1180523,2,2,3,4,6,7,15,14,11,13,77
312173,11,9,7,11,8,20,10,17,6,5,104
1180529,10,15,16,12,7,9,16,16,15,14,130
3605367,1,3,8,5,6,14,15,13,16,15,96
238459,11,17,31,23,18,42,20,23,26,21,232
811901,9,7,10,20,19,34,36,21,26,19,201
254847,6,15,8,22,29,36,33,32,25,25,231
695104,14,26,30,38,29,22,6,5,1,1,172
164743,15,29,35,28,32,29,24,27,16,12,247
803721,1,6,10,9,20,15,9,11,10,10,101
99213,3,7,10,11,5,13,13,12,5,8,87
369553,6,5,7,15,13,9,11,10,16,8,100
385939,9,19,21,7,6,6,7,8,4,4,91
271257,2,9,5,8,13,9,10,15,17,13,101
926,7,10,15,18,11,13,14,6,8,3,105
189348,4,8,9,23,22,26,21,18,23,16,170
1606568,4,4,0,2,5,6,13,12,16,16,78
787373,7,7,11,22,30,24,34,27,29,39,230
1950639,15,49,57,94,107,97,88,90,81,46,724
117576,2,7,13,5,12,10,8,8,14,11,90
181184,7,9,25,25,25,21,21,16,9,6,164
885697,24,20,42,58,107,85,122,122,145,145,870
877509,16,16,25,23,13,26,18,15,15,9,176
803787,2,10,11,22,14,12,9,13,8,13,114
1336270,1,5,7,6,10,12,16,16,13,13,99
598995,2,4,6,11,9,18,11,18,18,15,112
566228,14,17,21,23,16,23,20,17,19,17,187
986,6,7,6,9,4,13,8,5,2,7,67
91102,6,7,12,29,19,30,31,28,23,33,218
271333,17,17,14,10,4,7,12,4,4,3,92
279527,13,25,21,24,17,17,15,17,14,8,171
148456,4,8,11,3,14,8,7,8,6,4,73
320492,21,16,16,23,12,11,11,16,5,8,139
803821,3,6,10,14,12,15,13,13,10,9,105
1324541,7,13,9,11,7,11,15,15,12,11,111
1373694,5,25,35,16,30,39,24,32,59,64,329
117588,2,4,5,8,9,18,10,11,9,9,85
197627,6,9,13,12,11,13,11,7,6,2,90
286890,6,20,8,8,10,20,5,12,4,7,100
1041406,0,5,2,5,2,19,45,108,227,384,797
1619456,2,4,29,27,34,32,34,35,25,24,246
304133,10,15,16,23,21,27,26,30,15,16,199
1041422,6,8,25,31,40,49,88,79,92,128,546
1041424,2,7,8,14,10,23,27,38,41,37,207
173075,21,53,58,68,55,36,35,30,26,18,400
140313,7,6,3,4,3,5,3,4,0,4,39
91165,2,5,4,4,5,6,16,10,8,12,72
255010,3,3,6,11,3,14,14,15,9,9,87
1352739,18,22,28,30,24,18,19,12,8,4,183
91176,2,4,6,11,8,8,9,7,5,16,76
4400171,2,5,11,11,11,18,4,10,5,5,82
164908,3,5,5,10,17,13,19,7,14,5,98
287792,5,6,17,13,22,24,16,19,18,11,151
271412,9,11,12,10,6,7,2,4,13,15,89
50231,12,18,14,15,20,24,18,14,8,6,149
590908,4,6,6,9,7,10,12,8,9,8,79
148543,4,9,14,9,13,9,12,8,8,9,95
263232,7,12,14,10,8,10,7,5,3,5,81
844865,5,2,6,11,11,11,12,19,14,18,109
156739,1,0,2,3,8,9,10,20,16,14,83
400226,14,17,11,6,4,10,7,3,10,17,99
1664079,5,3,3,3,5,12,17,14,7,19,88
263249,2,6,6,15,11,20,11,7,7,5,90
181331,6,9,7,10,7,11,2,6,4,4,66
246872,4,3,14,15,16,15,11,15,8,11,112
2090073,5,7,4,6,5,9,14,10,10,10,80
1967194,7,3,3,2,7,18,12,16,24,27,119
17507,5,4,3,5,8,7,8,6,10,18,74
304229,1,3,0,2,6,5,7,11,16,23,74
746601,18,23,7,8,14,8,9,13,10,11,121
50152564,8,15,6,9,9,10,8,13,6,6,90
2014057,3,7,5,9,9,12,10,4,11,12,82
4105341,1,2,10,16,7,11,15,14,13,9,98
1150,16,13,13,17,9,13,8,3,4,3,99
320642,3,8,11,4,14,8,11,5,12,13,89
517252,6,10,10,23,6,6,6,7,6,12,92
538134,5,4,10,11,14,9,8,10,11,16,98
590982,1,9,4,3,8,9,8,4,14,11,71
156810,7,5,9,16,18,22,30,30,28,21,186
1352848,6,3,12,16,9,14,9,4,5,3,81
4048017,1,1,7,7,7,8,5,13,13,10,72
746645,8,8,8,10,11,5,14,10,5,11,90
443543,3,3,7,10,17,34,22,20,21,19,156
443546,0,6,4,7,10,9,13,7,12,5,73
2393244,0,2,2,5,10,6,7,9,19,19,79
246942,0,4,6,8,15,12,16,3,8,6,78
197794,12,21,15,13,16,13,13,6,4,8,121
615587,0,10,7,28,12,13,16,12,21,16,135
722085,12,12,10,9,13,15,9,7,6,8,101
591015,1,4,4,9,8,11,9,11,10,6,73
812202,3,7,7,10,12,13,10,8,13,7,90
58539,8,15,15,25,16,28,19,27,22,20,195
754867,5,6,8,15,10,15,14,18,11,10,112
681140,11,20,12,10,8,8,13,4,1,7,94
2925758,5,5,5,11,16,26,19,12,13,14,126
210464,6,9,11,12,9,13,7,10,12,7,96
695158,4,15,4,15,12,9,18,2,13,6,98
99527,6,5,10,11,17,11,18,15,5,7,105
1361100,18,24,21,13,11,8,5,1,5,2,108
1418446,4,25,13,11,5,9,8,8,5,6,94
263377,10,2,11,13,16,16,10,16,4,11,109
271579,6,15,25,15,26,16,13,23,15,13,167
566495,20,21,21,11,6,7,6,3,6,5,106
39253543,24,43,33,53,49,68,73,67,66,69,545
296172,8,17,7,9,14,6,18,9,9,9,106
1287409,5,23,47,41,25,35,27,16,15,14,248
1277,11,7,17,15,14,11,5,2,6,2,90
774357,4,2,4,11,11,9,7,8,12,13,81
39253547,0,2,2,10,14,13,8,12,8,10,79
1328389,8,23,18,15,13,11,19,12,9,5,133
304391,4,11,15,8,21,16,12,16,9,6,118
296203,4,17,10,15,27,12,18,12,10,8,133
215938,13,10,13,8,11,12,8,8,6,10,99
266456,27,32,24,34,21,30,23,32,27,16,266
255251,7,8,6,5,4,11,11,6,9,6,73
156948,5,8,13,8,12,8,9,13,5,12,93
681239,10,15,34,41,38,43,42,22,23,25,293
386328,14,10,15,15,10,7,10,11,11,10,113
107804,2,18,9,16,26,12,12,15,11,10,131
99613,7,12,19,14,16,11,7,11,3,9,109
705822,7,5,17,18,15,22,23,20,20,21,168
861475,10,18,27,18,18,19,20,25,11,21,187
2172200,6,7,4,7,4,5,11,15,12,9,80
17708,7,19,7,4,9,10,14,6,7,6,89
116015,7,11,19,16,11,15,13,18,19,11,140
173363,9,5,9,15,13,18,20,15,9,12,125
2032949,1,2,9,6,16,14,11,14,7,9,89
410934,31,44,47,51,36,46,25,16,22,12,330
1456703,8,8,16,13,13,17,18,22,10,8,133
2008378,11,9,9,11,10,9,12,7,8,9,95
288060,10,12,20,23,29,13,18,18,22,29,194
3679554,13,12,20,26,16,21,14,8,4,1,135
2385222,2,8,10,10,25,18,19,25,20,19,156
435529,2,6,18,21,30,34,32,31,34,36,244
738636,338,315,347,309,318,258,231,169,157,132,2574
615758,10,10,15,17,17,13,8,12,10,11,123
228237,8,17,9,22,12,21,16,16,10,15,146
247123,13,13,18,9,21,23,34,42,26,21,220
2153358,5,7,4,6,6,13,8,8,10,9,76
165206,5,11,13,32,29,43,30,31,23,24,241
3605851,5,11,18,21,28,17,13,20,7,13,153
288094,7,7,6,10,5,6,4,6,10,7,68
2008415,12,22,24,39,30,31,40,43,28,42,311
238951,1,0,10,8,18,19,13,9,15,15,108
836969,9,12,14,18,26,36,52,62,53,58,340
607596,3,16,17,18,12,3,9,4,3,3,88
288112,9,10,9,14,7,6,4,3,8,8,78
107890,5,8,3,5,4,7,6,4,8,3,53
107892,6,4,4,10,11,7,10,8,6,3,69
329078,6,8,10,11,8,7,11,4,1,6,72
1295735,4,9,15,14,13,13,8,3,3,4,86
3515770,0,0,1,9,10,11,12,22,20,25,110
607612,15,28,32,38,36,34,29,28,11,18,269
3859840,1,4,7,7,1,13,12,12,14,16,87
451971,2,3,11,9,19,16,6,6,2,8,82
681352,8,8,20,26,35,33,23,25,9,16,203
165260,4,6,6,13,22,8,17,23,10,22,131
1353101,2,10,3,13,11,29,25,19,17,24,153
2000271,4,5,8,14,12,16,20,28,23,19,149
214422,14,14,20,19,13,11,4,6,8,4,113
126073,7,6,11,13,19,19,17,9,13,10,124
804250,7,17,16,11,27,18,17,10,12,11,146
2090395,1,2,3,7,8,11,13,17,11,34,107
869792,2,1,9,12,11,11,19,13,20,22,120
2155937,44,58,63,62,75,84,72,96,109,104,767
869794,9,16,16,18,28,15,16,22,16,13,169
107943,3,7,5,9,14,10,13,15,11,13,100
771504,3,8,24,23,11,22,18,23,9,9,150
1461,27,28,28,33,32,26,30,25,11,20,260
1307284,7,8,10,9,13,7,12,10,6,5,87
430324,1,7,10,13,11,10,9,7,11,3,82
239035,3,6,6,16,12,14,12,6,8,4,87
1361344,0,2,0,3,14,15,16,21,15,14,100
353738,6,7,2,1,7,12,11,10,5,8,69
598263,4,1,2,5,3,10,7,9,10,13,64
206285,10,6,8,6,10,3,7,3,4,1,58
3917263,24,26,31,23,18,10,10,5,2,2,151
771662,3,4,10,8,5,6,8,13,7,3,67
47007192,1,2,2,3,4,4,9,7,11,13,56
75232,6,8,6,11,13,12,15,4,4,4,83
1279458,6,16,12,10,14,9,15,11,5,4,102
239077,6,10,16,16,11,6,9,11,9,4,98
206314,0,4,7,19,22,21,7,19,11,9,119
14444015,6,9,9,18,8,22,21,24,36,21,174
353776,7,5,13,13,11,10,8,5,3,10,85
484853,10,8,13,5,5,14,16,13,16,5,105
1336822,6,14,8,12,13,12,10,14,10,10,109
1361781,2,3,8,11,13,8,8,12,10,7,82
577792,7,6,6,9,8,11,12,11,11,5,86
296451,4,11,17,30,19,16,14,15,5,6,137
288260,9,1,7,5,4,6,10,12,12,11,77
329222,10,15,23,26,30,31,30,41,35,41,282
263688,21,30,21,21,35,36,31,24,26,32,277
296458,1,3,8,3,9,18,7,15,10,4,78
2024971,8,10,7,8,6,12,6,13,8,11,89
3409424,0,1,2,6,9,7,6,14,9,9,63
1328662,8,12,15,12,5,10,11,10,5,8,96
1254939,4,7,8,12,8,6,6,6,2,8,67
2090530,12,23,20,37,44,40,41,46,34,40,337
34340,7,4,14,12,3,13,18,11,8,7,97
2074150,3,4,10,6,11,20,17,7,9,10,97
607785,4,26,28,31,51,50,80,75,68,75,488
2041386,1,10,11,12,13,13,17,14,17,15,123
14444076,0,1,1,2,9,4,8,14,19,32,90
172296,7,8,13,13,12,9,14,11,9,9,105
607794,0,3,8,9,8,4,9,9,4,9,63
1386035,1,4,8,14,8,7,11,14,8,7,82
402997,8,15,11,14,15,10,22,12,5,7,119
15246907,1,0,8,14,32,34,27,29,61,77,283
3720767,10,19,9,25,18,16,12,12,16,13,150
280131,6,14,14,15,10,10,14,21,12,13,129
2115143,3,12,14,7,6,7,11,11,16,6,93
697929,11,7,18,12,9,12,10,13,15,14,121
75342,4,9,10,17,8,9,7,11,11,12,98
706128,5,2,8,10,10,15,9,20,17,16,112
14444115,2,2,4,1,8,8,10,7,13,19,74
2057818,0,7,5,8,14,10,15,15,9,13,96
304739,5,4,11,14,21,24,25,25,32,31,192
2057838,6,8,11,11,24,23,17,17,13,19,149
706164,7,6,11,9,9,17,8,8,13,14,102
1681018,7,3,12,17,5,11,14,16,9,9,103
763523,9,5,19,16,18,20,14,21,14,10,146
114624,19,27,28,33,39,28,14,25,23,12,248
137265,6,7,7,9,7,13,9,13,12,10,93
1361548,21,45,95,119,173,183,215,177,166,165,1359
231056,16,11,9,11,7,9,10,4,6,12,95
34453,2,5,10,13,16,9,22,6,5,8,96
665239,2,6,7,14,11,9,9,5,16,6,85
124569,6,4,9,11,13,24,22,21,23,25,158
206496,7,6,21,13,14,8,12,7,9,11,108
788138,3,8,13,12,18,22,28,29,25,19,177
181932,7,10,10,16,9,11,12,5,4,5,89
370357,1,6,10,11,23,13,27,16,25,7,139
1754806,8,12,16,18,15,19,18,18,15,15,154
296633,34,25,28,26,23,22,16,6,0,5,185
59066,9,17,22,31,32,41,42,67,48,64,373
706235,3,1,2,6,4,5,9,15,11,11,67
468669,10,25,21,33,54,65,80,96,85,96,565
1296067,5,6,16,19,29,51,41,34,42,40,283
799009,15,12,16,8,13,20,12,15,19,16,146
1328840,9,21,18,20,16,22,24,25,16,17,188
116425,6,8,18,14,23,19,9,6,12,11,126
2115274,1,3,11,7,8,32,29,49,44,67,251
1296075,285,364,399,455,497,628,767,704,800,864,5763
1595290,0,1,4,5,4,7,11,5,13,16,66
526034,3,15,20,15,16,16,5,10,20,17,137
616147,30,27,28,31,18,23,21,15,12,12,217
4089560,35,44,41,64,60,88,68,75,101,84,660
363471,0,10,6,7,15,9,9,12,17,14,99
91870,0,5,8,6,3,10,13,14,8,2,69
2033376,9,11,17,13,24,19,19,22,35,11,180
108262,9,12,21,27,35,30,37,32,25,28,256
313070,7,9,9,14,9,13,8,12,8,7,96
182001,1,4,8,9,13,14,12,16,12,8,97
698100,9,3,12,6,5,10,10,13,6,6,80
214774,6,7,8,10,15,9,4,1,5,4,69
2019741,2,2,5,11,7,10,13,14,9,16,89
1255163,87,104,124,143,118,118,103,88,73,65,1023
698109,20,19,16,18,11,18,14,13,10,17,156
1640191,3,7,7,9,6,5,13,10,12,9,81
19392260,10,4,12,13,21,15,19,17,13,18,142
114988,11,20,29,29,41,63,63,63,89,67,475
160456,7,11,8,7,8,11,9,8,7,10,86
296720,5,12,13,18,14,15,7,7,7,2,100
386834,12,15,7,14,11,19,10,15,10,6,119
10004,2,3,6,6,10,9,10,7,18,16,87
853787,2,2,10,5,7,7,7,9,11,12,72
166874,9,14,8,6,4,7,8,7,6,6,75
14489221,3,12,24,40,55,73,72,116,96,109,600
255777,22,30,43,79,89,105,103,135,113,144,863
861990,5,6,4,13,7,14,7,14,7,5,82
206633,11,12,13,18,17,11,21,24,14,16,157
59180,8,20,14,9,12,8,14,13,14,7,119
